Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Brendan Girton","NYM",0,0,0,4.88481,1,1,0,0,,3.59497,15,3,2,2,0,2,0,0,3,6.83414,4.7629,1.43487,1.151,0.177518,0.123717,0.05380057543516159,0.249088,1.44969,0.282246,0.674367,,,5.02564,0.00983078,0.0191411,999,,,,,,,18.802792024612426,5.230302926602648,17.974859476089478,5,,,,,,,,,,,,,,,,,,,"Brendan Girton","sa3025584",694858
"Athanael Duarte","LAA",0,0,0,5.17536,1,1,0,0,,2.28354,9,2,1,1,0,1,0,0,1,5.7429,3.43108,1.67379,1.30937,0.164475,0.0982651,0.06620987504720688,0.259197,1.27638,0.280776,0.604376,,,5.02841,0.00979399,0.0424447,999,,,,,,,10.698227834701541,4.684922392525528,10.417721509933472,4.562084256858956,,,,,,,,,,,,,,,,,,,"Athanael Duarte","sa3019630",805744
"Chung-Hsiang Huang","ARI",0,0,0,5.17363,1,1,0,0,,4.1407,17,4,3,2,1,2,0,0,3,5.55766,3.32639,1.67078,1.2457,0.149377,0.0894058,0.05997123569250107,0.271554,1.37918,0.294129,0.633812,,,4.94789,0.00978877,-0.032724,999,,,,,,,7.941154289245604,1.9178305486044493,7.703482627868652,1.8604315917117993,,,,,,,,,,,,,,,,,,,"Chung-Hsiang Huang","sa3067525",829473
"Ryan Murphy","STL",0,0,0,5.0518,1,1,0,0,,3.0872,13,3,2,2,0,1,0,0,2,6.20995,3.48426,1.78229,1.30289,0.159649,0.0895754,0.07007374614477158,0.267452,1.42649,0.293176,0.664655,,,4.9446,0.00978182,-0.0094509,999,,,,,,,16.045304155349733,5.197359157145804,16.43601632118225,5.32391777100797,,,,,,,,,,,,,,,,,,,"Ryan Murphy","sa3014871",694885
"George Soriano","STL",3,2,0,4.24736,44,0,1,10,,44,193,42,23,21,5,19,,2,42,8.44863,3.83268,2.20437,1.09661,0.216299,0.0981229,0.11817596107721329,0.244947,1.37234,0.294152,0.713031,,,4.26956,0.00970033,-0.0314523,999,,,,,,,220.90000000000003,5.020454545454546,221,5.0227272727272725,,,,,,,,,,,,,,,,,,,"George Soriano","21863",666277
"Trent Sellers","NYY",0,0,0,4.95297,1,1,0,0,,3.76864,17,4,2,2,1,2,0,0,3,7.98358,4.95286,1.61191,1.42342,0.197887,0.122765,0.07512171566486359,0.242213,1.48937,0.275764,0.700572,,,5.23423,0.00964009,0.0295318,999,,,,,,,5.187936305999758,1.3766070118332456,5.843200206756592,1.5504797865124311,,,,,,,,,,,,,,,,,,,"Trent Sellers","sa3023454",815587
"Duncan Pastore","NYY",0,0,0,5.15741,1,1,0,0,,2.02145,7,2,1,1,0,1,0,0,1,5.2554,3.39239,1.54917,1.22111,0.159832,0.103173,0.056659504771232605,0.255625,1.20354,0.274825,0.569907,,,4.99028,0.00963325,0.0233384,999,,,,,,,8.758747959136965,4.332898386594181,9.107262134552002,4.505306191386158,,,,,,,,,,,,,,,,,,,"Duncan Pastore","sa3025482",804603
"Yoendrys Gómez","MIN",2,2,0,4.10424,43,0,2,8,,43,183,37,21,19,6,18,,2,42,8.90368,3.75727,2.36972,1.29301,0.230268,0.0971707,0.1330968365073204,0.228748,1.29343,0.271582,0.728146,,,4.42508,0.00963201,0.0945584,999,,,,,,,214.2,4.981395348837209,203,4.72093023255814,,,,,,,,,,,,,,,,,,,"Yoendrys Gomez","22872",672782
"Jake Walkinshaw","MIA",0,0,0,5.11077,1,1,0,0,,2.10505,9,2,1,1,0,1,0,0,1,5.20754,3.73932,1.39264,1.03642,0.13404,0.0962489,0.03779148310422897,0.277213,1.48321,0.301649,0.65279,,,4.87014,0.00950972,0.0338282,999,,,,,,,9.377340650558473,4.454696239286831,9.525230169296265,4.524951006336585,,,,,,,,,,,,,,,,,,,"Jake Walkinshaw","sa3010317",688445
"Tommy Henry","ARI",0,0,0,5.2651,1,1,0,0,,4.81806,22,5,3,3,1,2,0,0,4,6.73298,3.36251,2.00237,1.45279,0.166612,0.0832076,0.08340438455343246,0.275974,1.49597,0.304348,0.674822,,,5.00717,0.00947434,0.00697949,999,,,,,,,12.353639888763428,2.5640281178040465,13.090297222137451,2.7169231457443996,,,,,,,,,,,,,,,,,,,"Tommy Henry","26285",674072
