Name,Org,Savant_Level,Player_Type,Pos,Age,PA,Pitches,PS Score,xwOBA,wOBA,Evidence_Score,Confidence,Confidence_Label,Pipeline_Rank,Composite_Rank,MLBAMID,Composite_MLBAMID,Prior_Value,Prospect_Update,Updated_Prospect_Value,Avg_Salary,Last10_Salary,Roster%,Match_Status,Savant_File
Marco Raya,MIN,AAA,pitcher,RP,23,92,345,0.698,0.328,0.397,0.553,0.773,High,,586.000,,694397,0.500,0.326,0.826,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
Cody Bowker,PHI,A,pitcher,SP,22,70,286,0.780,0.308,0.336,0.637,0.296,Medium,,886.000,,805790,0.500,0.325,0.825,0.000,0.000,0.000,name_org,A_pitchers_YTD_5_14.csv
Adisyn Coffey,CHW,AAA,pitcher,SP,27,94,355,0.779,0.294,0.355,0.659,0.625,High,,,,,0.000,0.795,0.795,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Griffin Burkholder,PHI,A,hitter,OF,20,66,257,0.770,0.349,0.187,0.644,0.257,Medium,,434.000,,816120,0.500,0.295,0.795,0.000,0.000,0.000,name_org,A_hitters_YTD_5_14.csv
Julian Aguiar,CIN,AAA,pitcher,SP,24,49,220,0.812,0.358,0.430,0.578,0.466,Medium,,948.000,,687924,0.500,0.293,0.793,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
Yovanny Cruz,NYY,AAA,pitcher,RP,26,67,242,0.842,0.283,0.292,0.717,0.455,Medium,,,,,0.000,0.791,0.791,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Dameury Pena,MIN,A,hitter,2B,20,110,386,0.669,0.388,0.831,0.585,0.428,Medium,,1065.000,,808365,0.500,0.290,0.790,0.000,0.000,0.000,name_org,A_hitters_YTD_5_14.csv
Eduardo Beltre,MIN,A,hitter,OF,19,67,277,0.791,0.259,0.453,0.632,0.275,Medium,,508.000,,815924,0.500,0.290,0.790,0.000,0.000,0.000,name_org,A_hitters_YTD_5_14.csv
Alex Cook,TBR,AAA,pitcher,SP,25,49,200,0.957,0.316,0.324,0.740,0.400,Medium,,,,,0.000,0.768,0.768,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Juan Sanchez,TOR,A,hitter,3B/SS,18,85,308,0.324,0.079,0.108,0.250,0.368,Medium,,252.000,,825646,1.500,-0.734,0.766,0.000,0.000,0.000,name_org,A_hitters_YTD_5_14.csv
Maximo Acosta,MIA,AAA,hitter,2B/3B/SS,23,72,295,0.623,0.414,0.151,0.561,0.538,Medium,,506.000,,691185,0.500,0.261,0.761,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Steven Pérez,CLE,AAA,pitcher,RP,25,67,316,0.656,0.312,0.367,0.550,0.632,High,,733.000,,682897,0.500,0.255,0.755,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
Edgleen Perez,PIT,A,hitter,C,19,115,426,0.921,0.838,0.831,0.896,0.472,Medium,,,,,0.000,0.748,0.748,0.000,0.000,0.000,savant_only,A_hitters_YTD_5_14.csv
Blade Tidwell,SFG,AAA,pitcher,SP,24,33,163,0.972,0.304,0.303,0.769,0.346,Medium,,,,,0.000,0.743,0.743,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Niko Kavadas,LAA,AAA,hitter,1B/DH,27,108,486,0.563,0.828,0.994,0.643,0.634,High,,,,,0.000,0.724,0.724,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Ryan Lambert,NYM,AAA,pitcher,RP,23,58,266,0.701,0.333,0.378,0.546,0.596,High,,764.000,,822038,0.500,0.221,0.721,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
Bradley Hanner,NYY,AAA,pitcher,RP,27,83,342,0.628,0.239,0.264,0.649,0.602,High,,,,,0.000,0.715,0.715,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Ivan Johnson,CIN,AAA,hitter,2B/OF,27,94,401,0.542,0.922,0.925,0.656,0.551,High,,,,,0.000,0.688,0.688,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
David Sandlin,CHW,AAA,pitcher,SP,25,24,100,0.807,0.334,0.241,0.613,0.200,Low,,333.000,,689818,0.500,0.181,0.681,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
Gavin Lux,TBR,AAA,hitter,2B,28,89,384,0.084,0.200,0.396,0.119,0.487,Medium,,,,,2.160,-1.482,0.678,2.400,1.700,39.860,savant_only,AAA_hitters_YTD_5_14.csv
Dylan Ray,ARI,AAA,pitcher,SP,25,103,349,0.671,0.330,0.382,0.532,0.698,High,,911.000,,691009,0.500,0.176,0.676,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
Jude Warwick,DET,A,hitter,2B/SS,20,131,499,0.849,0.788,0.687,0.831,0.509,Medium,,,,,0.000,0.673,0.673,0.000,0.000,0.000,savant_only,A_hitters_YTD_5_14.csv
Rorik Maltrud,CLE,AAA,pitcher,SP,26,158,583,0.618,0.272,0.250,0.589,0.940,High,,,,,0.000,0.673,0.673,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Alirio Ferrebus,PHI,A,hitter,C/1B,20,107,316,0.971,0.748,0.928,0.904,0.416,Medium,,,,,0.000,0.673,0.673,0.000,0.000,0.000,savant_only,A_hitters_YTD_5_14.csv
Jonatan Clase,TOR,AAA,hitter,OF,23,60,251,0.771,0.492,0.158,0.688,0.448,Medium,,,,,0.000,0.672,0.672,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Junior Perez,ATH,AAA,hitter,OF,24,153,590,0.666,0.181,0.209,0.520,1.000,High,,410.000,,678577,0.500,0.161,0.661,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Will Dion,CLE,AAA,pitcher,RP,26,85,357,0.688,0.280,0.327,0.622,0.671,High,,,,,0.000,0.658,0.658,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Andrew Pinckney,WSN,AAA,hitter,OF,25,125,529,0.714,0.328,0.390,0.598,0.833,High,,,,,0.000,0.655,0.655,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Robert Hassell III,WSN,AAA,hitter,OF,24,125,513,0.630,0.506,0.256,0.592,0.883,High,,,,,0.000,0.653,0.653,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Arnaldo Lantigua,CIN,A,hitter,OF,20,51,189,0.748,0.241,0.388,0.596,0.198,Low,,496.000,,806984,0.500,0.152,0.652,0.000,0.000,0.000,name_org,A_hitters_YTD_5_14.csv
Cameron Cauley,TEX,AAA,hitter,2B/SS,23,162,684,0.578,0.380,0.336,0.519,1.000,High,,315.000,,695508,0.500,0.149,0.649,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Ethan O'Donnell,MIA,AAA,hitter,OF,24,95,399,0.599,0.670,0.199,0.621,0.671,High,,,,,0.000,0.648,0.648,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Zach Brzykcy,MIA,AAA,pitcher,RP,26,62,225,0.706,0.244,0.217,0.691,0.423,Medium,,,,,0.000,0.647,0.647,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Jonny Cuevas,TBR,AAA,pitcher,SP,25,77,312,0.784,0.315,0.405,0.629,0.624,High,,,,,0.000,0.643,0.643,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Ty Johnson,TBR,AAA,pitcher,SP,24,30,133,0.910,0.269,0.251,0.784,0.282,Medium,,,,,0.000,0.640,0.640,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Anthony Molina,ATL,AAA,pitcher,SP,24,94,388,0.844,0.360,0.359,0.596,0.823,High,,,,,0.000,0.635,0.635,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Anibal Salas,DET,A,hitter,OF,20,107,446,0.964,0.687,0.676,0.881,0.416,Medium,,,,,0.000,0.634,0.634,0.000,0.000,0.000,savant_only,A_hitters_YTD_5_14.csv
Jonathan Mejía,STL,A,hitter,2B/SS,21,126,526,0.813,0.906,0.662,0.841,0.462,Medium,,,,,0.000,0.630,0.630,0.000,0.000,0.000,savant_only,A_hitters_YTD_5_14.csv
Brian Fitzpatrick,MIL,AAA,pitcher,RP,25,36,150,0.796,0.240,0.225,0.756,0.300,Medium,,,,,0.000,0.615,0.615,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Trevor Martin,TBR,AAA,pitcher,RP,25,72,288,0.726,0.289,0.325,0.633,0.576,High,,,,,0.000,0.611,0.611,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Sheng-En Lin,CIN,A,pitcher,SP,20,45,188,0.547,0.261,0.225,0.561,0.219,Low,,699.000,,806823,0.500,0.107,0.607,0.000,0.000,0.000,name_org,A_pitchers_YTD_5_14.csv
Tatem Levins,TBR,AAA,hitter,C,26,56,221,0.684,0.779,0.485,0.712,0.351,Medium,,,,,0.000,0.596,0.596,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Adam Kloffenstein,NYY,AAA,pitcher,SP,25,95,388,0.764,0.328,0.364,0.595,0.776,High,,,,,0.000,0.590,0.590,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Johnny Olmstead,MIA,AAA,hitter,2B/SS,25,80,312,0.593,0.741,0.380,0.638,0.533,Medium,,,,,0.000,0.587,0.587,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Dax Fulton,MIA,AAA,pitcher,SP,24,115,492,0.683,0.309,0.398,0.573,1.000,High,,,,,0.000,0.585,0.585,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Brendan Beck,NYY,AAA,pitcher,SP,27,172,649,0.648,0.289,0.299,0.582,0.880,High,,,,,0.000,0.578,0.578,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Enmanuel Tejeda,NYY,A,hitter,2B/3B,21,144,556,0.784,0.723,0.799,0.766,0.528,Medium,,,,,0.000,0.561,0.561,0.000,0.000,0.000,savant_only,A_hitters_YTD_5_14.csv
Mac Heuer,NYY,A,pitcher,SP,21,26,111,0.792,0.365,0.308,0.555,0.122,Low,,818.000,,806121,0.500,0.054,0.554,0.000,0.000,0.000,name_org,A_pitchers_YTD_5_14.csv
Juan Villavicencio,PHI,A,hitter,2B/SS,21,87,360,0.935,0.928,0.629,0.933,0.319,Medium,,,,,0.000,0.553,0.553,0.000,0.000,0.000,savant_only,A_hitters_YTD_5_14.csv
Brad Pacheco,PHI,A,pitcher,SP,20,92,313,0.943,0.224,0.324,0.877,0.365,Medium,,,,,0.000,0.551,0.551,0.000,0.000,0.000,savant_only,A_pitchers_YTD_5_14.csv
Braxton Fulford,COL,AAA,hitter,C,27,92,350,0.569,0.761,0.816,0.627,0.540,Medium,,,,,0.000,0.547,0.547,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Jared Serna,MIA,AAA,hitter,2B/SS,23,109,442,0.611,0.264,0.166,0.507,0.814,High,,867.000,,691858,0.500,0.046,0.546,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Yunior Tur,ATH,AAA,pitcher,SP,26,70,282,0.741,0.298,0.350,0.628,0.530,Medium,,,,,0.000,0.544,0.544,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Will Childers,MIL,AAA,pitcher,RP,25,39,160,0.822,0.279,0.226,0.711,0.320,Medium,,,,,0.000,0.539,0.539,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Gabriel Gonzalez,MIN,AAA,hitter,OF,22,171,626,0.500,0.096,0.130,0.379,1.000,High,,152.000,,694224,1.500,-0.969,0.531,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Carter Johnson,MIA,A,hitter,2B/SS,20,126,540,0.892,0.489,0.813,0.771,0.490,Medium,,,,,0.000,0.531,0.531,0.000,0.000,0.000,savant_only,A_hitters_YTD_5_14.csv
Thomas Ireland,TEX,AAA,pitcher,RP,23,46,192,0.676,0.255,0.300,0.654,0.430,Medium,,,,,0.000,0.530,0.530,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Brandan Bidois,PIT,AAA,pitcher,RP,24,64,265,0.827,0.340,0.403,0.617,0.562,High,,,,,0.000,0.525,0.525,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Luis Perales,WSN,AAA,pitcher,SP,23,126,503,0.714,0.326,0.283,0.566,1.000,High,,,,,0.000,0.525,0.525,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Robert Moore,PHI,AAA,hitter,2B/SS,24,76,303,0.687,0.470,0.660,0.622,0.537,Medium,,,,,0.000,0.523,0.523,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Coleman Crow,MIL,AAA,pitcher,SP,25,125,499,0.613,0.325,0.319,0.502,0.998,High,,475.000,,689441,0.500,0.015,0.515,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
Trevor Hauver,TEX,AAA,hitter,OF,27,149,667,0.491,0.767,0.468,0.574,0.874,High,,,,,0.000,0.515,0.515,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Nicolas Carreno,NYM,A,pitcher,SP,19,81,331,0.969,0.273,0.288,0.816,0.408,Medium,,,,,0.000,0.515,0.515,0.000,0.000,0.000,savant_only,A_pitchers_YTD_5_14.csv
Liover Peguero,PHI,AAA,hitter,2B/SS,25,137,594,0.690,0.286,0.428,0.569,0.913,High,,,,,0.000,0.502,0.502,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Jayson Bass,MIN,A,hitter,OF,20,94,358,0.928,0.633,0.507,0.840,0.365,Medium,,,,,0.000,0.496,0.496,0.000,0.000,0.000,savant_only,A_hitters_YTD_5_14.csv
Roddery Muñoz,HOU,AAA,pitcher,RP,26,57,221,0.769,0.296,0.328,0.649,0.415,Medium,,,,,0.000,0.496,0.496,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Zach Franklin,CHW,AAA,pitcher,RP,27,70,253,0.721,0.283,0.390,0.639,0.445,Medium,,,,,0.000,0.495,0.495,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Andrew Magno,BAL,AAA,pitcher,SP,28,60,251,0.686,0.262,0.209,0.649,0.412,Medium,,,,,0.000,0.492,0.492,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Wyatt Olds,BOS,AAA,pitcher,RP,26,79,329,0.661,0.284,0.288,0.598,0.619,High,,,,,0.000,0.486,0.486,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Julio Mendez,MIA,A,pitcher,SP,21,95,366,0.899,0.254,0.279,0.801,0.403,Medium,,,,,0.000,0.485,0.485,0.000,0.000,0.000,savant_only,A_pitchers_YTD_5_14.csv
Travis Adams,MIN,AAA,pitcher,RP,26,29,115,0.754,0.208,0.322,0.779,0.216,Low,,,,,0.000,0.483,0.483,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Tyler Gentry,DET,AAA,hitter,OF,27,94,345,0.527,0.801,0.840,0.609,0.551,High,,,,,0.000,0.482,0.482,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Joe La Sorsa,PIT,AAA,pitcher,SP,28,71,255,0.626,0.241,0.288,0.644,0.418,Medium,,,,,0.000,0.481,0.481,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Lyon Richardson,CIN,AAA,pitcher,RP,26,92,372,0.611,0.272,0.228,0.585,0.699,High,,,,,0.000,0.473,0.473,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Jacob Odle,STL,A,pitcher,SP,22,106,450,0.855,0.266,0.309,0.753,0.465,Medium,,,,,0.000,0.471,0.471,0.000,0.000,0.000,savant_only,A_pitchers_YTD_5_14.csv
Alex Hoppe,SEA,AAA,pitcher,RP,27,30,125,0.786,0.229,0.191,0.767,0.220,Low,,,,,0.000,0.470,0.470,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Ben Jacobs,DET,A,pitcher,SP,21,63,274,0.937,0.214,0.182,0.889,0.301,Medium,,,,,0.000,0.469,0.469,0.000,0.000,0.000,savant_only,A_pitchers_YTD_5_14.csv
TJ Shook,COL,AAA,pitcher,RP,27,84,315,0.543,0.231,0.334,0.606,0.554,High,,,,,0.000,0.469,0.469,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Nolan Perry,TOR,A,pitcher,SP,22,78,324,0.868,0.211,0.214,0.849,0.335,Medium,,,,,0.000,0.468,0.468,0.000,0.000,0.000,savant_only,A_pitchers_YTD_5_14.csv
Jack Hurley,ARI,AAA,hitter,OF,24,87,304,0.620,0.532,0.717,0.594,0.615,High,,,,,0.000,0.461,0.461,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Aaron Sabato,MIN,AAA,hitter,1B,26,91,328,0.590,0.619,0.849,0.599,0.570,High,,,,,0.000,0.451,0.451,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Victor Arias,TOR,A,hitter,OF,22,23,103,0.396,0.414,0.151,0.401,0.079,Low,,578.000,,692478,0.500,-0.063,0.437,0.000,0.000,0.000,name_org,A_hitters_YTD_5_14.csv
Thomas Harrington,PIT,AAA,pitcher,SP,24,146,587,0.595,0.324,0.334,0.492,1.000,High,,358.000,,802419,0.500,-0.064,0.436,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
Zach MacDonald,DET,A,hitter,OF,22,139,578,0.626,0.964,0.892,0.727,0.479,Medium,,,,,0.000,0.436,0.436,0.000,0.000,0.000,savant_only,A_hitters_YTD_5_14.csv
Victor Labrada,SEA,AAA,hitter,OF,26,122,489,0.419,0.652,0.654,0.489,0.765,High,,686.000,,700032,0.500,-0.069,0.431,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
William Bergolla Jr.,CHW,AAA,hitter,2B/SS,21,40,141,0.654,0.682,0.976,0.662,0.331,Medium,,,,,0.000,0.429,0.429,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
A.J. Vukovich,ARI,AAA,hitter,3B/OF,24,53,183,0.512,0.392,0.664,0.476,0.375,Medium,,660.000,,691021,0.500,-0.072,0.428,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Elier Morillo,MIA,A,pitcher,RP,20,62,254,0.918,0.224,0.302,0.861,0.296,Medium,,,,,0.000,0.428,0.428,0.000,0.000,0.000,savant_only,A_pitchers_YTD_5_14.csv
Echedry Vargas,MIA,A,hitter,SS,21,50,165,0.540,0.230,0.540,0.447,0.183,Low,,1043.000,,800448,0.500,-0.078,0.422,0.000,0.000,0.000,name_org,A_hitters_YTD_5_14.csv
Adrian Pinto,TOR,A,hitter,2B,23,29,118,0.165,0.906,0.540,0.388,0.094,Low,,804.000,,691437,0.500,-0.084,0.416,0.000,0.000,0.000,name_org,A_hitters_YTD_5_14.csv
Christian Cerda,ARI,AAA,hitter,C,23,44,164,0.473,0.455,0.706,0.467,0.329,Medium,,940.000,,692416,0.500,-0.085,0.415,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Tanner Murray,CHW,AAA,hitter,OF,26,29,114,0.702,0.976,0.988,0.784,0.182,Low,,,,,0.000,0.413,0.413,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Zebby Matthews,MIN,AAA,pitcher,SP,25,150,583,0.724,0.339,0.404,0.551,1.000,High,,,,,0.000,0.412,0.412,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Max Schuemann,NYY,AAA,hitter,SS,28,91,356,0.464,0.928,0.280,0.603,0.497,Medium,,,,,0.000,0.410,0.410,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
JP Smith II,MIN,A,hitter,1B,21,88,357,0.835,0.773,0.586,0.816,0.323,Medium,,,,,0.000,0.408,0.408,0.000,0.000,0.000,savant_only,A_hitters_YTD_5_14.csv
Carson Rucker,DET,A,hitter,3B,21,126,534,0.741,0.673,0.781,0.721,0.462,Medium,,,,,0.000,0.407,0.407,0.000,0.000,0.000,savant_only,A_hitters_YTD_5_14.csv
Orlando Ribalta,WSN,AAA,pitcher,RP,28,30,129,0.641,0.187,0.227,0.739,0.212,Low,,,,,0.000,0.405,0.405,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Otto Kemp,PHI,AAA,hitter,3B/OF,26,82,307,0.536,0.732,0.468,0.595,0.514,Medium,,,,,0.000,0.390,0.390,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Anthony Seigler,BOS,AAA,hitter,3B,26,70,270,0.530,0.795,0.727,0.610,0.439,Medium,,,,,0.000,0.385,0.385,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Dylan Ross,NYM,AAA,pitcher,RP,25,22,100,0.887,0.287,0.274,0.740,0.200,Low,,,,,0.000,0.385,0.385,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Shay Whitcomb,HOU,AAA,hitter,2B/3B,27,53,197,0.286,0.828,0.645,0.449,0.311,Medium,,787.000,,694376,0.500,-0.127,0.373,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Jackson Wolf,SDP,AAA,pitcher,SP,27,122,484,0.598,0.286,0.333,0.554,0.852,High,,,,,0.000,0.369,0.369,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Luinder Avila,KCR,AAA,pitcher,SP,24,47,182,0.751,0.308,0.362,0.619,0.386,Medium,,,,,0.000,0.367,0.367,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Erik Tolman,WSN,AAA,pitcher,RP,26,59,247,0.658,0.284,0.388,0.597,0.464,Medium,,,,,0.000,0.359,0.359,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Maick Collado,CLE,AAA,hitter,1B/3B,23,36,139,0.741,0.492,0.887,0.666,0.269,Medium,,,,,0.000,0.358,0.358,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Drew Waters,KCR,AAA,hitter,OF,27,112,444,0.533,0.645,0.752,0.567,0.657,High,,,,,0.000,0.350,0.350,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Carlos Rodriguez,MIL,AAA,pitcher,SP,24,97,381,0.631,0.349,0.402,0.475,0.808,High,,680.000,,692230,0.500,-0.161,0.339,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
Nick Cimillo,PIT,AAA,hitter,1B,26,89,365,0.455,0.483,0.321,0.463,0.558,High,,1010.000,,701177,0.500,-0.163,0.337,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Dylan Smith,SFG,AAA,pitcher,RP,25,55,229,0.638,0.279,0.259,0.591,0.458,Medium,,,,,0.000,0.335,0.335,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Ryan Sprock,MIN,A,hitter,C/3B,21,82,348,0.755,0.827,0.748,0.777,0.301,Medium,,,,,0.000,0.333,0.333,0.000,0.000,0.000,savant_only,A_hitters_YTD_5_14.csv
Rodolfo Durán,SDP,AAA,hitter,C,28,99,382,0.515,0.720,0.502,0.577,0.541,Medium,,,,,0.000,0.331,0.331,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Jaeden Calderon,PHI,A,hitter,1B/OF,20,78,303,0.899,0.471,0.263,0.771,0.303,Medium,,,,,0.000,0.328,0.328,0.000,0.000,0.000,savant_only,A_hitters_YTD_5_14.csv
Jared Southard,LAA,AAA,pitcher,SP,25,112,428,0.603,0.292,0.401,0.548,0.856,High,,,,,0.000,0.328,0.328,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Jonathan Ornelas,NYY,AAA,hitter,3B/SS,25,88,346,0.660,0.357,0.813,0.569,0.587,High,,,,,0.000,0.323,0.323,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Collin Price,HOU,AAA,hitter,C/1B,26,129,563,0.452,0.779,0.524,0.550,0.808,High,,,,,0.000,0.322,0.322,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Jack Goodman,DET,A,hitter,2B/SS,22,113,487,0.655,0.817,0.209,0.703,0.389,Medium,,,,,0.000,0.317,0.317,0.000,0.000,0.000,savant_only,A_hitters_YTD_5_14.csv
Luis Mey,CIN,AAA,pitcher,RP,24,48,207,0.734,0.319,0.359,0.590,0.439,Medium,,,,,0.000,0.315,0.315,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Logan VanWey,HOU,AAA,pitcher,RP,27,68,265,0.578,0.259,0.347,0.584,0.466,Medium,,,,,0.000,0.314,0.314,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Enrique Bradfield Jr.,BAL,AAA,hitter,OF,24,52,214,0.672,0.452,0.390,0.606,0.367,Medium,,,,,0.000,0.311,0.311,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Nolan Beltran,PHI,A,hitter,SS,21,78,311,0.719,0.878,0.863,0.767,0.286,Medium,,,,,0.000,0.305,0.305,0.000,0.000,0.000,savant_only,A_hitters_YTD_5_14.csv
Chad Dallas,TOR,AAA,pitcher,SP,25,105,428,0.621,0.302,0.264,0.543,0.856,High,,,,,0.000,0.297,0.297,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Richard Ramirez,PIT,A,hitter,C,20,56,196,0.827,0.856,0.881,0.836,0.218,Low,,,,,0.000,0.293,0.293,0.000,0.000,0.000,savant_only,A_hitters_YTD_5_14.csv
Jose Chirinos,NYM,A,pitcher,SP,21,72,258,0.836,0.257,0.277,0.755,0.284,Medium,,,,,0.000,0.290,0.290,0.000,0.000,0.000,savant_only,A_pitchers_YTD_5_14.csv
Esmil Valencia,MIA,A,hitter,OF,20,22,108,0.237,0.079,0.288,0.190,0.086,Low,,991.000,,806982,0.500,-0.212,0.288,0.000,0.000,0.000,name_org,A_hitters_YTD_5_14.csv
Joe Rock,TBR,AAA,pitcher,RP,25,59,245,0.704,0.317,0.371,0.573,0.490,Medium,,,,,0.000,0.288,0.288,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Engelth Urena,NYY,A,hitter,C,21,126,518,0.475,0.367,0.453,0.442,0.462,Medium,,1050.000,,800246,0.500,-0.213,0.287,0.000,0.000,0.000,name_org,A_hitters_YTD_5_14.csv
Austin Peterson,CLE,AAA,pitcher,SP,26,44,180,0.432,0.302,0.281,0.421,0.338,Medium,,1034.000,,804926,0.500,-0.214,0.286,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
Drew Davies,CIN,A,hitter,1B/OF,20,45,178,0.885,0.957,0.881,0.906,0.175,Low,,,,,0.000,0.284,0.284,0.000,0.000,0.000,savant_only,A_hitters_YTD_5_14.csv
Cade Gibson,MIA,AAA,pitcher,RP,28,83,320,0.548,0.258,0.282,0.566,0.525,Medium,,,,,0.000,0.277,0.277,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Trevor McDonald,SFG,AAA,pitcher,SP,25,65,261,0.294,0.335,0.291,0.279,0.522,Medium,,,,,1.197,-0.925,0.272,1.330,1.100,4.196,savant_only,AAA_pitchers_YTD_5_14.csv
