Name,Org,Savant_Level,Player_Type,Pos,Age,PA,Pitches,PS Score,xwOBA,wOBA,Evidence_Score,Confidence,Confidence_Label,Pipeline_Rank,Composite_Rank,MLBAMID,Composite_MLBAMID,Prior_Value,Prospect_Update,Updated_Prospect_Value,Avg_Salary,Last10_Salary,Roster%,Match_Status,Savant_File
Ricky Vanasco,DET,AAA,pitcher,SP,27,59,275,0.902,0.207,0.202,0.877,0.484,Medium,,,,,0.000,1.461,1.461,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Mason Barnett,ATH,AAA,pitcher,SP,25,123,492,0.719,0.293,0.309,0.621,0.984,High,,647.000,,686930,0.500,0.956,1.456,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
Yasser Mercedes,MIN,A,hitter,OF,21,67,300,0.978,0.986,0.993,0.981,0.246,Low,,708.000,,703160,0.500,0.944,1.444,0.000,0.000,0.000,name_org,A_hitters_YTD_5_14.csv
Malachi Witherspoon,DET,A,pitcher,SP,21,88,330,0.956,0.266,0.337,0.819,0.363,Medium,,550.000,,802412,0.500,0.925,1.425,0.000,0.000,0.000,name_org,A_pitchers_YTD_5_14.csv
Alan Roden,MIN,AAA,hitter,OF,26,87,324,0.795,0.895,0.822,0.825,0.545,Medium,,,,,0.000,1.418,1.418,0.000,0.000,0.000,savant_only,AAA_hitters_YTD_5_14.csv
Josh Stephan,TEX,AAA,pitcher,SP,24,149,603,0.819,0.299,0.333,0.677,1.000,High,,,,,0.000,1.417,1.417,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Gabriel Hughes,COL,AAA,pitcher,SP,24,116,454,0.889,0.324,0.376,0.683,0.962,High,,,,,0.000,1.410,1.410,0.000,0.000,0.000,savant_only,AAA_pitchers_YTD_5_14.csv
Zach Maxwell,CIN,AAA,pitcher,RP,25,65,279,0.781,0.267,0.322,0.704,0.558,High,,544.000,,687209,0.500,0.909,1.409,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
MJ Melendez,NYM,AAA,hitter,OF,27,56,241,0.678,0.720,0.321,0.690,0.329,Medium,,,,,0.900,0.500,1.400,1.000,1.100,4.895,savant_only,AAA_hitters_YTD_5_14.csv
Will Sanders,CHC,AAA,pitcher,SP,24,75,281,0.932,0.339,0.455,0.687,0.596,High,,1071.000,,691739,0.500,0.891,1.391,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
