"last_name, first_name","player_id","year","player_age","pa","home_run","k_percent","bb_percent","xba","xslg","woba","xwoba","xwobacon","avg_swing_speed","fast_swing_rate","attack_angle","ideal_angle_rate","vertical_swing_path","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","meatball_swing_percent","iz_contact_percent","in_zone_percent","whiff_percent","swing_percent","pull_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent"
"Sale, Chris",519242,2026,37,191,6,29.3,6.3,".209",".348",".255",".280",".350","71.2",21.5,8.8,48.6,32.9,"11.3",31.4,8.5,2.5,32.2,"76.022898305","93.247182034",64.5,19.7,37.9,41.4,58.6,51.3,72.5,80.3,48.7,28,50.8,39,44.9,28,21.2,5.9
"Eovaldi, Nathan",543135,2026,36,200,10,23.5,5,".264",".447",".321",".331",".407","72.9",35.2,12.1,54.8,33,"11.2",32.1,8.6,5.7,46.4,"79.241950571","95.121335929",72.3,21.5,36,48.1,51.9,51.4,72.5,78.5,48.6,30.7,53.6,47.1,50,25,20,5
"Fedde, Erick",607200,2026,33,177,10,14.7,7.9,".243",".429",".325",".323",".340","72.8",32.3,9.9,52,33.3,"16.7",31.3,10.4,9,38.8,"78.843303134","93.899950522",67.8,9.7,25.1,31.2,68.8,55,87.5,90.3,45,16.4,44.3,31.3,39.6,31.3,21.6,7.5
"May, Dustin",669160,2026,28,179,4,17.9,6.1,".284",".435",".359",".339",".381","71.7",21.9,7.6,47.9,32.6,"12.4",36.8,6.8,7.5,48.9,"78.938713485","95.038597634",65.5,10.7,28.4,33.3,66.7,50.4,75,89.3,49.6,17.6,46.8,30.1,42.9,21.1,28.6,7.5
"Woods Richardson, Simeon",680573,2026,25,198,9,10.1,10.1,".294",".512",".426",".385",".389","73.3",39.7,8.6,53.5,31.5,"18.1",32.1,9.6,7.7,45.5,"80.593084935","95.254785817",67.6,11.2,23.2,36,64,51.7,78.5,88.8,48.3,17.8,44.7,38.5,39.1,28.2,23.1,9.6
"Castillo, Luis",622491,2026,33,178,6,20.8,7.3,".299",".491",".382",".372",".437","73.2",36.3,9.9,50.7,31.1,"18",38.7,12.1,8.9,51.6,"83.310951129","95.947762358",74.1,19.2,32.9,37.8,62.2,51.8,72.2,80.8,48.2,25.2,52.8,47.6,35.5,25.8,29.8,8.9
"Gilbert, Logan",669302,2026,29,204,8,25.5,4.9,".264",".451",".332",".330",".417","72",28.3,12,57.1,32,"15.3",38.8,10.8,9.4,48.9,"80.797815217","95.493661522",64.2,19.1,31.8,50.8,49.2,49.2,76.8,80.9,50.8,29.4,48.2,47.5,39.6,28.8,25.9,5.8
"Peterson, David",656849,2026,30,181,2,21,7.7,".270",".389",".328",".332",".385","71.7",27.1,10.2,52,32.7,"7.8",31.5,5.6,7.1,46.5,"78.651537213","94.921579508",64.4,11.6,33.4,42.1,57.9,53.6,66.7,88.4,46.4,23,47.8,43.3,54.3,16.5,23.6,5.5
"Matz, Steven",571927,2026,35,149,6,18.8,8.7,".268",".452",".299",".342",".384","72.3",31.1,9.2,54.2,32.4,"15.3",43,11.2,6.5,37.4,"78.071828333","94.114728692",69.6,18.5,28.2,39.3,60.7,49.6,78,81.5,50.4,24.4,49.1,29.9,38.3,26.2,28,7.5
"Mlodzinski, Carmen",669387,2026,27,177,2,23.2,7.3,".284",".427",".330",".341",".412","71.6",24.3,9.9,46.4,33.5,"13",34.2,8.3,8.3,53.3,"82.604383333","95.641079832",60,12.3,27.9,41.1,58.9,50,66.7,87.7,50,21.4,44,39.2,47.5,18.3,26.7,7.5
"Griffin, Foster",656492,2026,30,190,6,22.1,7.9,".244",".417",".271",".319",".371","72.4",26.4,10.1,52.4,32.9,"13.8",36.6,11.5,3.8,36.6,"74.976330156","93.958902656",62.6,16.1,30.5,40.2,59.8,51.7,71.4,83.9,48.3,24.3,46,45,45,27.5,19.8,7.6
"Alcantara, Sandy",645261,2026,30,242,4,16.1,8.3,".243",".356",".303",".297",".313","71.7",21,10.5,49.7,34.5,"11.3",28,5.5,4.9,36.3,"77.642672111","93.568578833",67.3,15.1,31.8,44,56,48.7,71.9,84.9,51.3,24,50.1,33.5,46.2,26.4,20.3,7.1
"Ashcraft, Braxton",677952,2026,26,191,4,26.7,7.3,".197",".303",".276",".257",".309","72.2",24.9,11.6,56.2,33,"14.4",28,5.6,5.6,35.2,"79.593760484","93.864494959",64.5,17.9,33.8,50.4,49.6,50.6,65.5,82.1,49.4,29.3,49,31.2,48,29.6,15.2,7.2
