"last_name, first_name","player_id","year","player_age","pa","home_run","k_percent","bb_percent","xba","xslg","woba","xwoba","xwobacon","avg_swing_speed","fast_swing_rate","attack_angle","ideal_angle_rate","vertical_swing_path","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","meatball_swing_percent","iz_contact_percent","in_zone_percent","whiff_percent","swing_percent","pull_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent"
"Pérez, Eury",691587,2026,23,207,8,25.6,11.6,".233",".448",".346",".347",".413","72.4",28.5,11.6,57.5,32.6,"21.2",37.3,13.5,8.7,42.9,"78.770243333","94.86847112",72.5,20.1,29.2,47.6,52.4,52.9,80.3,79.9,47.1,28.6,49.6,49.2,35.7,27.8,23,13.5
"Pallante, Andre",669467,2026,27,186,5,17.7,10.2,".241",".406",".319",".328",".347","72.5",30.5,7.8,43.8,33.1,"4.8",31.3,8.5,6.9,39.7,"75.461515385","94.535631705",62.6,12.7,25.9,48.5,51.5,51.5,78.5,87.3,48.5,23.6,43.7,35.1,55.7,22.1,19.1,3.1
"deGrom, Jacob",594798,2026,38,174,6,32.8,4.6,".221",".392",".255",".278",".397","72.8",29.5,10.8,55,32.5,"19.5",39.4,11,10.1,44,"81.956561296","95.153391019",70.2,19.8,35.8,59.2,40.8,49.3,85.7,80.2,50.7,32.9,53.2,39.4,30.3,29.4,31.2,9.2
"Dollander, Chase",801403,2026,24,180,5,26.1,9.4,".207",".362",".301",".295",".345","72",26.1,5,37.6,31.6,"11.1",22.1,9.7,8.8,51.3,"79.257300179","95.405834234",69.5,21.9,28.1,44.7,55.3,51.3,83.3,78.1,48.7,28.7,48.3,30.1,53.1,23.9,15.9,7.1
"Yamamoto, Yoshinobu",808967,2026,27,195,8,24.6,5.1,".254",".439",".291",".317",".398","72",24.3,10.4,60.6,33.4,"13",35.3,10.3,7.4,40.4,"78.219247463","94.609435746",66.5,18.3,33.2,52.7,47.3,51.3,85.4,81.7,48.7,30.1,49.4,46.3,40.4,30.9,23.5,5.1
"Fried, Max",608331,2026,32,240,1,20.8,7.9,".205",".269",".244",".254",".272","71.6",21.8,7.8,48,30.7,"8.7",26.6,1.8,5.3,30.8,"74.389795904","92.929946807",61.7,14.6,29.5,39.2,60.8,52.8,71.4,85.4,47.2,23.2,44.7,29.6,49.1,23.7,18.9,8.3
"Sproat, Brandon",687075,2026,25,154,8,23.4,13,".245",".429",".380",".345",".396","71.5",20.7,9,54.1,32.7,"15.7",32,9.3,5.2,40.2,"78.048048958","94.044055053",64.5,19.1,25.5,42.5,57.5,51.1,72.3,80.9,48.9,25.9,44.6,37.1,41.2,36.1,17.5,5.2
"Rasmussen, Drew",656876,2026,30,170,7,25.3,4.1,".233",".373",".254",".276",".351","72",27,7.2,53.3,32,"8.4",28.3,9.2,1.7,32.5,"75.309315424","93.366844188",66.7,12.7,32.4,44.6,55.4,51.2,78.9,87.3,48.8,23.5,49.1,44.2,50,23.3,18.3,8.3
"Misiorowski, Jacob",694819,2026,24,202,4,39.6,8.4,".189",".269",".234",".253",".354","71.3",24.4,4.5,39.4,29.7,"11.9",39,3,8,34,"75.8387476","92.988035",66,29.1,30.9,62.4,37.6,49,64.9,70.9,51,39.5,48.8,33,41,23,28,8
"Schlittler, Cam",693645,2026,25,202,1,29.2,4.5,".214",".326",".205",".253",".335","72.1",30.9,6.4,54.8,29.4,"10.9",29.9,6,5.2,40.3,"75.87281791","94.054732632",74.7,22.6,37.3,42.4,57.6,48.9,77.5,77.4,51.1,29,56.4,33.6,49.3,22.4,21.6,6.7
"Houser, Adrian",605288,2026,33,189,8,12.2,7.4,".285",".489",".375",".365",".385","72",26.4,9.5,51.8,33.4,"8.5",36,10,5.3,44.7,"80.388407534","95.452673425",70.5,11.5,28.3,35,65,53.4,83,88.5,46.6,18.9,48,42,48,20.7,26,5.3
"Hancock, Emerson",676106,2026,27,185,8,27,4.9,".234",".446",".300",".314",".406","72.7",33.6,9.2,44.4,32.2,"12.9",28.2,11.5,7.3,41.1,"79.33008918","94.744175246",77.6,18.4,26.4,43.5,56.5,47,89.8,81.6,53,24.2,53.6,44.4,45.2,30.6,16.1,8.1
"Lopez, Jacob",682052,2026,28,167,8,16.8,14.4,".197",".328",".379",".292",".277","71.6",25.9,11,52.7,31.3,"21.3",30.4,5.2,7,30.4,"74.718954035","92.709297193",64.2,15.8,23.4,32.1,67.9,52.3,72.3,84.2,47.7,20.4,42.9,37.4,33,34.8,15.7,16.5
"Mahle, Tyler",641816,2026,31,182,8,23.1,11,".253",".420",".352",".332",".387","71.8",24.5,11,52.5,32.2,"10",33.3,10.2,4.2,37.5,"79.759069322","94.269609746",59.9,13.5,27,35.9,64.1,53.4,80,86.5,46.6,21.1,42.3,35.8,47.5,25.8,23.3,3.3
"Rocker, Kumar",677958,2026,26,166,4,18.1,10.2,".274",".453",".333",".354",".391","72.2",27.8,11.4,48.2,34.8,"9.7",28,8.5,4.2,46.6,"79.11058339","95.263509316",69.3,9.8,28,46.9,53.1,53.1,75,90.2,46.9,21.5,47.3,34.7,50.8,20.3,22.9,5.9
"Rea, Colin",607067,2026,35,186,6,19.4,7,".287",".499",".331",".361",".421","71.7",26.7,8.5,49.5,31.5,"7.4",33.1,11,5.9,46.3,"83.956227059","95.050039259",64.4,10.9,34.5,39.8,60.2,52.9,79.2,89.1,47.1,21.8,48.6,31.6,50.7,24.3,21.3,3.7
"Meyer, Max",676974,2026,27,203,4,26.6,8.4,".251",".420",".286",".327",".405","72.3",25.1,10.9,54.3,32.9,"12.6",36.4,10.9,3.9,41.1,"79.121512344","94.440823984",66,13.3,34.2,63.4,36.6,53.2,71.7,86.7,46.8,31.9,49.1,38.8,41.9,24.8,25.6,7.8
"Pfaadt, Brandon",694297,2026,27,139,5,19.4,10.1,".243",".438",".336",".335",".371","71.8",23.9,10.2,58.4,33.5,"9.3",34,10.3,8.2,38.1,"76.233382449","94.151866804",68.1,16.5,33.7,41.5,58.5,54.6,79.4,83.5,45.4,25.8,49.3,38.1,50.5,21.6,19.6,8.2
"Peralta, Freddy",642547,2026,30,210,5,23.8,9,".237",".356",".287",".301",".348","71.6",22.3,9.1,51,32.8,"14.2",37.4,4.3,5,37.4,"76.302408971","93.43608125",67.4,20.3,31.2,41.5,58.5,54,81.2,79.7,46,27.8,47.9,40.3,42.4,25.2,25.9,6.5
"Detmers, Reid",672282,2026,26,213,4,24.9,8,".220",".335",".306",".286",".332","72.3",28.3,10.6,53,31.4,"16.9",28.3,6.6,4.3,36.2,"77.671256324","93.872845147",66.1,16.3,31.7,46.4,53.6,50.7,69.8,83.4,49.3,26.2,48.7,40.6,42,27.5,21,9.4
"Kirby, George",669923,2026,28,227,4,20.3,6.2,".229",".324",".286",".272",".306","71.6",22.1,7.8,50.5,31,"9.1",23,3.6,4.8,40,"77.933182805","94.068677012",69.7,11.7,36.2,35.7,64.3,51.4,80.3,88.3,48.6,20.2,52.5,32.1,57,24.2,13.3,5.5
"Freeland, Kyle",607536,2026,33,136,7,20.6,5.9,".288",".468",".379",".356",".415","72.4",29.2,10.9,50.2,32.1,"14.2",31.3,7.4,10.4,41.7,"77.871075833","95.050478316",67.2,12,37.5,46,54,51.9,73.7,88,48.1,24.8,51.8,35.4,42.7,26,25,6.3
"Springs, Jeffrey",605488,2026,33,206,7,21.4,7.3,".225",".385",".314",".302",".346","72.2",28.5,11.2,56.2,30.6,"19.2",35.2,8.3,6.2,32.4,"77.632240139","93.041083357",60.1,19.1,32.1,34.9,65.1,51.2,58.5,80.9,48.8,24.8,45.7,37.2,32.4,33.1,24.1,10.3
"Singer, Brady",663903,2026,29,196,11,14.3,5.6,".298",".531",".414",".380",".420","72.4",28,11.6,50,33.2,"14.7",35.7,11.4,7.1,44.2,"81.7534552","95.449514631",64.8,9.8,27.9,47.2,52.8,52.7,77.6,90.2,47.3,21.9,45.4,40.9,41.6,26,28.6,3.9
"Cantillo, Joey",676282,2026,26,188,5,21.8,10.6,".235",".382",".324",".312",".348","72.5",30.9,12.4,47,30.5,"13.1",25.4,7.9,3.2,42.1,"77.06442873","94.39648944",63.1,17.9,26.2,49,51,51.8,78.8,82.1,48.2,27.5,44,41.3,45.2,28.6,18.3,7.9
"Taillon, Jameson",592791,2026,34,186,11,21.5,8.6,".227",".453",".324",".325",".376","72.7",28.1,12.8,56.3,31.8,"18.4",33.6,13.3,7.8,35.9,"75.543307656","93.79644189",62.5,16.5,29.4,43.5,56.5,52.8,77.6,83.5,47.2,25.8,45,43.8,35.2,36.7,19.5,8.6
"Nola, Aaron",605400,2026,33,183,7,24,8.2,".261",".432",".357",".328",".399","71.7",19.7,13.9,58.3,33.4,"13.5",37.1,8.9,5.6,39.5,"77.463201613","94.361102419",63.3,15.2,32.6,42,58,57.6,72.2,84.8,42.4,26.3,45.6,44.4,40.3,21,29.8,8.9
"Martinez, Nick",607259,2026,35,193,3,16.1,5.2,".256",".411",".269",".311",".344","72.5",29.7,10.6,54.2,32.8,"13.7",31.3,6,3.3,30,"75.107340533","92.928666242",64.5,10.8,32.3,34.6,65.4,48.2,87.8,89.2,51.8,18.3,49,47.3,42,27.3,22,8.7
"Woodruff, Brandon",605540,2026,33,121,4,20.7,5.8,".221",".377",".277",".280",".326","72.7",28.4,9.2,50,30.3,"22.9",29.5,8,3.4,33,"81.104788409","93.478746552",67.7,13.4,33.8,43.9,56.1,47,72.1,86.6,53,22.8,51.8,27.3,30.7,39.8,19.3,10.2
"Painter, Andrew",691725,2026,23,172,7,19.8,7,".276",".473",".377",".350",".406","71.8",27.4,11.4,54.8,31.2,"16.8",30.6,10.5,4,37.9,"77.413056393","94.224537377",64.9,14.1,35.7,35.6,64.4,55.3,66.1,85.9,44.7,22.8,48.8,41.1,40.3,27.4,21.8,10.5
"Sheehan, Emmet",686218,2026,26,152,6,28.3,6.6,".254",".439",".354",".322",".421","72.2",29.4,12.4,62.1,31.3,"14.8",38.8,10.2,5.1,41.8,"76.587451837","94.384023571",68.4,18.5,36.9,51.6,48.4,54.1,80,81.5,45.9,31.3,51.4,55.1,42.9,22.4,26.5,8.2
"Burke, Sean",680732,2026,26,179,5,20.1,5.6,".252",".397",".299",".309",".354","71.5",26.7,9.4,58.9,30,"15.1",33.8,5.4,6.9,37.7,"78.341835625","93.738613984",64.9,11.9,32.6,35.5,64.5,48.2,64,88.1,51.8,19.4,49.4,38.5,41.5,24.6,24.6,9.2
"Williams, Gavin",668909,2026,26,225,8,29.3,9.8,".236",".431",".307",".327",".422","72.3",27.5,10.1,50,30.9,"9.8",33.8,13.4,5.1,47,"80.934727015","95.620975564",62.7,20.6,33.3,49.7,50.3,51.1,65.3,79.4,48.9,30.9,47.9,44.1,46.3,22.8,23.5,7.4
"Webb, Logan",657277,2026,29,208,4,20.2,7.2,".280",".419",".337",".336",".387","72",26.1,6.9,44.3,34.6,"2.8",31.3,6.8,4.8,49,"79.910497808","95.422235103",64.3,13.1,34.9,31.7,68.3,54.4,76.7,86.9,45.6,20.4,48.3,37.4,58.5,14.3,25.2,2
"Ragans, Cole",666142,2026,28,151,10,29.8,15.2,".218",".452",".360",".345",".433","72.2",28,11,51,32.4,"20.2",32.5,15.7,8.4,39.8,"79.173246585","94.156201829",67.3,23,27.9,48.5,51.5,55.6,84.2,77,44.4,31.7,45.4,41,34.9,37.3,19.3,8.4
"Ginn, J.T.",669372,2026,27,175,5,19.4,9.1,".248",".382",".307",".312",".343","72.4",30.9,11.2,59.5,31.9,"8.4",27.4,6.5,4.8,33.9,"76.007372787","93.378071311",63.9,13.8,30.6,38.6,61.4,55.9,67.4,86.2,44.1,23.2,45.3,41.9,49.2,21,22.6,7.3
"King, Michael",650633,2026,31,205,4,24.4,10.7,".221",".352",".275",".305",".341","72.7",34.9,12.8,47.9,32.7,"12.2",32,9.4,3.1,31.3,"75.772740645","93.032802177",64,20,28.3,46.5,53.5,53.9,67.3,80,46.1,29,44.8,44.5,51.6,20.3,21.1,7
"McGreevy, Michael",700241,2026,25,168,5,19.6,6,".275",".502",".244",".352",".418","71.6",24.9,9.7,52.4,33.8,"12",34.4,10.5,4,36.8,"75.735615902","94.289400082",63.9,10.7,27.6,38.3,61.7,54.7,79.1,89.3,45.3,20.2,44,32,45.6,25.6,23.2,5.6
"Baz, Shane",669358,2026,27,198,5,19.2,9.6,".271",".427",".369",".339",".378","71.7",25.8,7.8,50,31,"14.8",38.8,8.6,8.6,38.1,"78.876214857","94.103170647",65.6,8.3,29.5,49.2,50.8,52.2,65.1,91.7,47.8,21.8,46.7,36,37.4,22.3,31.7,8.6
"Gallen, Zac",668678,2026,30,193,6,15,7.3,".293",".481",".364",".361",".394","72",26.6,11.9,53.5,34.3,"9.6",32.4,10.1,5.4,44.6,"80.429241081","94.966089456",63.8,8.7,32.4,32.6,67.4,57.7,65.5,91.3,42.3,18.5,45.7,43.9,49.3,25.7,23,2
"Wacha, Michael",608379,2026,34,201,5,20.9,8.5,".223",".394",".269",".304",".341","71.3",22.5,12,55.3,32.6,"19.5",32.1,7.1,7.1,36.4,"77.143825797","93.520254818",64.5,17.9,29.5,32.4,67.6,50.2,67.3,82.1,49.8,22.5,46.9,40.7,35.7,32.1,22.9,9.3
