Name,Org,Pos,Age,PA,AB,Pitches,xwOBA,wOBA,PS Score,Agg,Power,Discipline,xBA,xSLG,Barrels,BB%,Chase%,EV,Max EV,50th% EV,90th% EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,Speed,wBsR/PA,Pull,Pull Air,Spd,wBsR,wBsR/PA,xBA,xSLG,Barrels,BB%,Chase%,EV,Max EV,50th% EV,90th% EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,PullAir%,BA,OBP,SLG,BABIP,PA/Barrels,Barrels,BB,2B,3B,Hits,HR,K,Swings,Whiffs
James Wood,WSN,OF,23,230,190,914,0.9865771812080537,0.9798657718120806,1,0.7365771812080537,0.9498881431767338,0.6359859379993608,0.9854586129753915,0.9619686800894854,0.8165548098434005,0.9552572706935123,0.6554809843400448,0.9977628635346756,0.9776286353467561,0.9977628635346756,0.9888143176733781,0.9955257270693513,0.7953020134228188,0.07494407158836688,0.5850111856823266,0.2604166666666667,0.2639821029082774,0.5973154362416108,0.5995525727069351,0.5369127516778524,0.8366890380313199,0.21476510067114093,0.14221218961625282,4.9545,0.9127790000000001,0.003968604347826087,.304,.498,10.1,17,25.196850393700785,95.1,115.3,98.1,108.8,59.5,18.3,4,26,0.421225,0.616505,0.854331,0.107221,10.1,.353,.461,.595,.410,6.5,15,39,16,0,67,10,42,385,100
Roman Anthony,BOS,OF,21,164,131,705,0.9351230425055929,0.9586129753914989,0.9977628635346756,0.6857522371364654,0.7281879194630874,0.7002237136465325,0.802013422818792,0.7114093959731543,0.6476510067114094,0.9753914988814317,0.901565995525727,0.5257270693512305,0.8948545861297539,0.7248322147651006,0.9776286353467561,0.8612975391498882,0.7651006711409396,0.04138702460850112,0.738255033557047,0.07523148148148147,0.05145413870246085,0.6331096196868009,0.8366890380313199,0.6510067114093959,0.22595078299776286,0.7807606263982103,0.28555304740406323,5.67814,"'-0.403396","'-0.002459731707317073",.257,.393,7.9,18.9,20.161290322580644,88,112.5,92,108.4,45.5,18.9,3,23.4,0.37588699999999997,0.559375,0.8603350000000001,0.08226950000000001,12.7,.344,.463,.519,.424,4.9,8,31,12,1,45,3,31,265,62
Nick Yorke,PIT,2B,23,342,297,1470,0.941834451901566,0.889261744966443,0.9955257270693513,0.7063758389261745,0.7961968680089486,0.6484499840204538,0.9888143176733781,0.8747203579418344,0.4552572706935123,0.6051454138702461,0.7181208053691275,0.9362416107382551,0.772930648769575,0.9463087248322147,0.8523489932885906,0.941834451901566,0.7595078299776287,0.2986577181208054,0.8478747203579419,0.16666666666666666,0.11409395973154363,0.6241610738255033,0.8702460850111857,0.5525727069351231,0.6733780760626398,0.0447427293064877,0.1275395033860045,5.04327,0.30554000000000003,0.000893391812865497,.305,.442,5.6,11.7,24.151436031331592,91.5,110.9,94.5,105.7,48.9,19,9,20.8,0.402685,0.579832,0.8599030000000001,0.0791946,9.9,.333,.416,.498,.404,3.8,13,40,25,0,99,8,65,634,132
Drake Baldwin,ATL,C,24,334,275,1293,0.9832214765100671,0.8456375838926175,0.9932885906040269,0.7715324384787472,0.9225950782997764,0.7662192393736019,0.9787472035794184,0.9720357941834452,0.8411633109619687,0.8948545861297539,0.7807606263982103,0.9787472035794184,0.8568232662192393,0.9787472035794184,0.8814317673378076,0.9642058165548099,0.8747203579418344,0.24049217002237136,0.7706935123042505,0.4652777777777778,0.70917225950783,0.5950782997762863,0.738255033557047,0.16554809843400448,0.3042505592841163,0.29977628635346754,0.19074492099322798,2.6294299999999997,"'-0.648151","'-0.0019405718562874245",.300,.503,10.6,15.6,22.943722943722943,92.8,111.9,96.2,106.2,53.1,16.2,8,22.9,0.45630299999999996,0.690096,0.854167,0.0935808,11.1,.298,.407,.484,.327,7.2,24,52,13,1,82,12,54,590,135
Kristian Campbell,BOS,2B,23,85,70,389,0.9328859060402684,0.8713646532438478,0.9910514541387024,0.7067953020134228,0.7337807606263983,0.7468839884947267,0.889261744966443,0.7986577181208053,0.6263982102908278,0.883668903803132,0.8366890380313199,0.5592841163310962,0.8064876957494407,0.7248322147651006,0.814317673378076,0.8780760626398211,0.6252796420581656,0.04138702460850112,0.9183445190156599,0.13310185185185186,0.22818791946308725,0.8098434004474273,0.9261744966442953,0.5480984340044742,0.12080536912751678,0.12304250559284116,0.31715575620767494,5.02479,"'-0.364372","'-0.004286729411764704",.267,.415,7.7,15.3,21.73913043478261,88.2,111.2,92,105.3,46.2,21.2,3,18.2,0.395887,0.610526,0.8879309999999999,0.0719794,13.5,.286,.412,.486,.333,4.7,4,13,2,0,20,4,18,154,28
Jackson Holliday,BAL,2B,21,344,265,1431,0.9205816554809844,0.8747203579418344,0.9888143176733781,0.635486577181208,0.7029082774049217,0.6177692553531481,0.5436241610738255,0.6935123042505593,0.6476510067114094,0.9932885906040269,0.9373601789709173,0.8467561521252797,0.40268456375838924,0.9049217002237137,0.5805369127516778,0.9239373601789709,0.5771812080536913,0.2986577181208054,0.5234899328859061,0.09722222222222222,0.2214765100671141,0.33109619686800895,0.7404921700223713,0.5659955257270693,0.6599552572706935,0.21252796420581654,0.3600451467268623,5.0845199999999995,0.258333,0.0007509680232558139,.233,.390,7.9,21.5,18.946047678795484,90.3,108.2,93.6,103.6,48.2,22.4,9,27.3,0.38407800000000003,0.608232,0.8170430000000001,0.09357539999999999,14.1,.268,.427,.475,.337,4.4,15,74,25,0,71,10,77,550,150
Junior Caminero,TBR,3B,22,236,217,927,0.7360178970917226,0.6510067114093959,0.9865771812080537,0.6216442953020134,0.9422818791946309,0.483381271971876,0.8467561521252797,0.8657718120805369,0.8780760626398211,0.14317673378076062,0.42058165548098436,0.9843400447427293,0.9944071588366891,0.9854586129753915,0.9977628635346756,0.9888143176733781,0.6252796420581656,0.13646532438478748,0.6387024608501118,0.5960648148148148,0.5570469798657718,0.4753914988814318,0.5234899328859061,0.1319910514541387,0.19686800894854586,0.4228187919463087,0.3724604966139955,2.3395799999999998,"'-0.70217","'-0.0029752966101694914",.262,.436,11.4,6.8,29.258517034068138,93.3,117.2,97,109.7,56.9,21.2,6,25.2,0.475728,0.668132,0.838816,0.114347,14.3,.276,.331,.498,.303,8.1,19,16,9,0,60,13,50,441,111
Dylan Crews,WSN,OF,23,238,211,891,0.6733780760626398,0.5492170022371364,0.9843400447427293,0.6731683445190156,0.7756152125279642,0.6145733461169703,0.6812080536912751,0.772930648769575,0.5827740492170023,0.2975391498881432,0.407158836689038,0.8378076062639821,0.901565995525727,0.814317673378076,0.8948545861297539,0.7829977628635347,0.8277404921700223,0.354586129753915,0.7158836689038032,0.7129629629629629,0.6308724832214765,0.8277404921700223,0.5950782997762863,0.8814317673378076,0.7695749440715883,0.6543624161073825,0.2945823927765237,7.219289999999999,0.596604,0.0025067394957983195,.245,.407,7,8.4,29.519450800915326,90.2,112.6,92.7,106.3,43.3,17.6,10,23.8,0.494949,0.678652,0.8907280000000001,0.107744,12.9,.265,.340,.455,.294,5,12,20,10,3,56,8,42,441,105
Tyler Soderstrom,ATH,1B/OF,23,142,122,577,0.9384787472035794,0.941834451901566,0.9821029082774049,0.6631012304250559,0.904026845637584,0.5148609779482263,0.9149888143176734,0.9217002237136466,0.7706935123042505,0.49217002237136465,0.5615212527964206,0.9787472035794184,0.8624161073825504,0.9821029082774049,0.9720357941834452,0.9865771812080537,0.4463087248322148,0.354586129753915,0.5604026845637584,0.19328703703703706,0.08277404921700224,0.7785234899328859,0.6823266219239373,0.27740492170022374,0.09172259507829977,0.35011185682326623,0.3363431151241535,3.39145,"'-0.7065560000000001","'-0.004975746478873239",.273,.460,9.3,10.6,26.537216828478964,92.8,112.1,96.4,108,55.8,24.6,10,26.7,0.40830500000000003,0.574074,0.883871,0.100346,13.8,.279,.380,.607,.312,5.6,8,15,8,1,34,10,35,236,63
Jasson Domínguez,NYY,OF,22,193,175,682,0.8534675615212528,0.727069351230425,0.9798657718120806,0.6938618568232662,0.7174496644295303,0.6236816874400767,0.9228187919463087,0.9060402684563759,0.7774049217002237,0.28523489932885904,0.2841163310961969,0.4742729306487696,0.8400447427293065,0.4563758389261745,0.9586129753914989,0.5894854586129754,0.7740492170022372,0.4888143176733781,0.6957494407158836,0.7766203703703703,0.9239373601789709,0.8299776286353467,0.5727069351230425,0.883668903803132,0.959731543624161,0.8970917225950783,0.6997742663656885,7.25422,2.09783,0.01086958549222798,.278,.452,9.4,8.3,31.56498673740053,87.7,111.6,89.9,107.5,38.8,18.7,12,24.3,0.505865,0.7459279999999999,0.8908299999999999,0.109971,20,.309,.368,.480,.353,6.7,13,16,7,1,54,7,36,345,84
