Name,Org,Pos,Age,PA,AB,Pitches,xwOBA,wOBA,PS Score,Agg,Contact Quality,Max Velo,xwOBA,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,BA,OBP,SLG,BABIP,PA/Barrels,Barrels,BB,2B,3B,Hits,HR,K,Swings,Whiffs,Swing%,Z-Swing%,Z-Contact%,SwStr%
Jonah Tong,NYM,,22,45,42,178,.210,.219,1,0.787431640035419,0.5824721780604134,0.8219936708860759,0.9848966613672496,0.9523052464228935,0.9228934817170111,0.7837837837837838,0.9054054054054054,0.9841017488076311,0.29093799682034976,0.3322734499205087,0.9682034976152624,0.519872813990461,0.9825119236883942,0.8955696202531646,0.47615262321144675,0.9936406995230525,0.9904610492845787,.159,.251,4,6.7,37.63440860215053,89.2,40,37.8,13,42.4,.190,.244,.238,.320,2.2222222222222223,1,3,2,0,8,0,17,92,39,51.68539325842697,67.05882352941175,64.91228070175438,21.910112359550567
Walbert Urena,LAA,,22,24,21,102,.294,.249,0.9984101748807631,0.7732684867481033,0.9169316375198728,0.956487341772152,0.615262321144674,0.22813990461049286,0.787758346581876,0.9721780604133545,0.3783783783783784,0.9093799682034976,0.9904610492845787,0.9173290937996821,0.9848966613672496,0.5468998410174881,0.9920508744038156,0.11985759493670885,0.9920508744038156,0.7273449920508744,0.9618441971383148,.249,.293,0,12.5,33.846153846153854,82.6,27.3,41.7,12.5,46.3,.190,.292,.238,.364,0,0,3,1,0,4,0,10,41,19,40.19607843137255,51.35135135135135,78.94736842105263,18.62745098039216
Robby Snelling,MIA,,22,243,224,953,.228,.253,0.9968203497615262,0.8496997905388636,0.8503577106518283,0.8219936708860759,0.965818759936407,0.8449920508744038,0.9093799682034976,0.8394276629570747,0.8895071542130366,0.7742448330683624,0.753577106518283,0.8990461049284578,0.924483306836248,0.7114467408585056,0.8624801271860095,0.7381329113924051,0.6120826709062003,0.9554848966613673,0.9109697933227345,.186,.258,3.5,7,30.669546436285096,86.8,28.5,33.3,9.9,34.3,.201,.259,.313,.293,2.05761316872428,5,17,11,1,45,4,81,463,159,48.58342077649529,65.51020408163265,71.96261682242991,16.684155299055615
Angel Chivilli,NYY,,23,38,36,151,.235,.288,0.9952305246422893,0.765586218664681,0.6365262321144675,0.951740506329114,0.9459459459459459,0.7313195548489666,0.8108108108108109,0.9721780604133545,0.9491255961844197,0.9610492845786963,0.10174880763116058,0.6613672496025437,0.6828298887122417,0.5389507154213037,0.8799682034976153,0.9818037974683544,0.0047694753577106515,0.8895071542130366,0.9761526232114467,.202,.286,0,5.3,36.14457831325301,90.5,34.6,26.3,12.6,34.9,.278,.316,.333,.385,0,0,2,2,0,10,0,10,86,30,56.95364238410596,82.35294117647058,75,19.86754966887417
Chase Burns,CIN,,23,46,41,174,.270,.210,0.9936406995230525,0.6568068790122961,0.40878378378378377,0.9738924050632912,0.8171701112877583,0.5969793322734499,0.6120826709062003,0.9721780604133545,0.7639109697933227,0.9475357710651828,0.011128775834658187,0.0397456279809221,0.8434022257551669,0.4546899841017488,0.848966613672496,0.8797468354430379,0.41017488076311603,0.8187599364069952,0.9364069952305246,.218,.331,0,8.7,35.555555555555564,93.8,50,30.4,14.1,33.7,.171,.239,.220,.250,0,0,4,2,0,7,0,14,89,30,51.14942528735632,67.85714285714286,77.19298245614034,17.24137931034483
José Fermin,LAA,,24,46,41,191,.246,.281,0.9920508744038156,0.7477239024672476,0.6359300476947536,0.9766613924050632,0.9165341812400636,0.8577106518282989,0.9117647058823529,0.8084260731319555,0.5635930047694754,0.9697933227344993,0.16216216216216217,0.6613672496025437,0.9054054054054054,0.2647058823529412,0.9745627980922098,0.9438291139240508,0.030206677265500796,0.9968203497615262,0.9920508744038156,.184,.257,3.8,10.9,36.44859813084112,90,34.6,32.6,16.4,40.8,.220,.304,.317,.320,2.1739130434782608,1,5,1,0,9,1,15,103,42,53.92670157068062,76.19047619047619,62.5,21.98952879581152
Anthony Nunez,BAL,,24,61,52,253,.264,.231,0.9904610492845787,0.7635456391331763,0.6152623211446742,0.8358386075949367,0.8497615262321144,0.7655007949125596,0.863275039745628,0.8648648648648649,0.6605723370429253,0.9411764705882353,0.05087440381558029,0.6820349761526232,0.9403815580286169,0.7432432432432432,0.9650238473767886,0.4529272151898734,0.9427662957074722,0.17011128775834658,0.951510333863275,.197,.270,3.1,9.8,34.96503496503497,91.3,34.4,34.4,9.3,40,.135,.246,.250,.167,1.639344262295082,1,6,0,0,7,2,21,115,46,45.45454545454545,59.09090909090909,86.15384615384615,18.181818181818183
Didier Fuentes,ATL,,20,89,84,372,.289,.277,0.9888712241653418,0.5969674882440147,0.43163751987281396,0.8631329113924051,0.6605723370429253,0.23370429252782193,0.32591414944356123,0.3728139904610493,0.9737678855325914,0.7313195548489666,0.541335453100159,0.4864864864864865,0.9054054054054054,0.2821939586645469,0.7869634340222575,0.7681962025316456,0.09538950715421304,0.9284578696343402,0.8537360890302067,.248,.388,7.1,4.5,30.143540669856463,88,37.5,32.6,16.1,31.9,.238,.270,.369,.321,4.49438202247191,4,4,2,0,20,3,29,182,58,48.9247311827957,73.00613496932516,73.94957983193278,15.591397849462366
Mason Montgomery,PIT,,25,33,31,137,.246,.226,0.9872813990461049,0.7409260060507269,0.597972972972973,0.9968354430379748,0.9165341812400636,0.6081081081081081,0.8243243243243243,0.5079491255961844,0.9912559618441972,0.9491255961844197,0.22496025437201908,0.834658187599364,0.9936406995230525,0.04531001589825119,0.9984101748807631,0.9588607594936708,0.02384737678855326,0.9920508744038156,1,.217,.284,6.2,3,35.61643835616439,89.6,31.2,45.5,21.8,48,.194,.242,.258,.375,3.0303030303030303,1,1,2,0,6,0,15,75,36,54.74452554744526,76.5625,65.3061224489796,26.277372262773728
Edgardo Henriquez,LAD,,23,117,99,445,.323,.382,0.985691573926868,0.6556703762586116,0.6116852146263911,1,0.35532591414944353,0.3688394276629571,0.4467408585055644,0.5079491255961844,0.4507154213036566,0.918918918918919,0.7082670906200318,0.7837837837837838,0.8537360890302067,0.5548489666136724,0.918918918918919,0.6906645569620253,0.4785373608903021,0.9173290937996821,0.9427662957074722,.236,.361,6.2,12,34.230769230769226,87.1,32.8,30.8,12.4,36.6,.303,.402,.475,.443,3.418803418803419,4,14,4,2,30,3,36,213,78,47.86516853932585,67.02702702702703,74.19354838709677,17.528089887640448
