Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"José Soriano","LAA",6,2,0,9,9,54.1,10.104294714998929,3.3128835131144028,0.8282208782786007,0.24806201550387597,0.94,0.496240601,0.113636363,97.79996822667464,1.6564417565572014,3.7566003765640406,3.1615128857715527,3.103016803560811,1.314314365386963,"Jose Soriano",22100,667755
"Shane McClanahan","TBR",4,2,0,8,8,39.2,9.302521604811828,3.4033615627360345,0.22689077084906897,0.22549019607843138,0.71808511,0.424242424,0.025641025,95.41841225436681,2.2689077084906897,3.283033067991548,2.5012561049554614,3.5549499108773444,1.3004425764083862,"Shane McClanahan",21483,663556
"Bryce Elder","ATL",4,1,0,9,9,54.2,8.72561016201904,3.2926830800071847,0.4939024620010777,0.2302158273381295,0.81439394,0.428571428,0.056603773,92.82710816688144,1.8109756940039516,2.9011976679903713,3.088005476775161,3.736793250528186,1.2904165983200073,"Bryce Elder",27779,693821
"Braxton Ashcraft","PIT",2,2,0,8,8,48.2,9.431507342169112,2.5890412311836783,0.7397260660524795,0.2727272727272727,0.73275862,0.475806451,0.085106382,97.01223366477272,2.773972747696798,2.5704005278125854,3.003558429156801,3.2919864524280786,1.2867846488952637,"Braxton Ashcraft",23793,677952
"Reid Detmers","LAA",1,4,0,9,9,49.1,9.668919915783848,3.1013516711004794,0.7297298049648187,0.3037037037037037,0.66225166,0.401459854,0.070175438,94.12625440140845,4.378378829788912,3.203956064105314,3.2887306117941835,3.8580661915152525,1.2175744771957397,"Reid Detmers",27468,672282
"Joe Ryan","MIN",2,3,0,9,9,44.2,9.067164695350574,2.6194031342123876,0.6044776463567049,0.2564102564102564,0.60267857,0.386554621,0.054545454,93.2934871720679,3.425373329354661,3.276132085263654,3.039133977624456,3.8960849482700493,1.2106995582580566,"Joe Ryan",21390,657746
"Kevin Gausman","TOR",2,3,0,9,9,51.1,8.415584624044856,1.5779221170084103,1.051948078005607,0.2808219178082192,0.67226891,0.386666666,0.1,94.00131671348315,3.857142952687225,3.469943576869586,3.28162284022058,3.4043956191424574,1.209854006767273,"Kevin Gausman",14107,592332
"Landen Roupp","SFG",5,3,0,8,8,43.2,10.511450993862647,3.9160307624194175,0.20610688223260093,0.2692307692307692,0.67901235,0.533980582,0.035714285,92.81382533482143,3.0916032334890136,2.517990910286881,2.510878278547687,3.1141093836030147,1.20741868019104,"Landen Roupp",30076,694738
"George Kirby","SEA",5,2,0,9,9,57,7.2631578947368425,2.210526315789474,0.631578947368421,0.2981366459627329,0.80128205,0.569696969,0.081632653,96.8330553604869,2.8421052631578947,2.8848811624228357,3.246649037745961,3.542208820084731,1.1534208059310913,"George Kirby",25436,669923
"Mitch Keller","PIT",4,2,0,9,9,52.2,6.493671199637845,2.5632912630149387,0.5126582526029878,0.2549019607843137,0.68773234,0.389610389,0.057692307,93.62876157407408,3.5886077682209145,4.250628499153634,3.3151589301319735,3.9619062598060344,1.1503899097442627,"Mitch Keller",17594,656605
"Bailey Ober","MIN",4,2,0,9,9,52,6.75,2.5961538461538463,0.8653846153846154,0.22297297297297297,0.70833333,0.355263157,0.070422535,89.2695625,3.4615384615384617,3.138273887064215,3.8370673913222095,4.505485931010201,1.1458534002304077,"Bailey Ober",21224,641927
"Max Meyer","MIA",3,0,0,9,9,47.2,10.195804739774944,3.20979038104026,0.7552447955388847,0.272,0.76335878,0.4140625,0.085106382,95.2289073855378,3.20979038104026,4.272461349181741,3.190214248946188,3.484693210091444,1.1360810995101929,"Max Meyer",27474,676974
