Name,OttoneuID,"FG MajorLeagueID","FG MinorLeagueID","MLB Org",Position(s),"Avg Salary","Median Salary","Min Salary","Max Salary","Last 10",Roster%
"Zac Gallen",23779,19291,sa857550,ARI,SP,$9.12,$9.00,$1,$26,$6.70,90.909
"Gavin Williams",40941,30122,sa3018106,CLE,SP,$9.00,$9.00,$3,$18,$10.40,100
"J.P. France",35674,21212,sa3008310,"HOU AAA",SP/RP,$9.00,$9.00,$9,$9,$1.50,0.699
"Ty France",23201,17982,sa876140,SDP,1B,$9.00,$9.00,$9,$9,$1.20,0.699
"Spencer Schwellenbach",42737,31846,sa3020703,ATL,SP,$8.86,$9.00,$1,$20,$7.70,97.203
"Jacob Misiorowski",42711,31623,sa3020644,MIL,SP,$8.57,$7.00,$3,$27,$20.70,100
"Dansby Swanson",18506,18314,sa659260,CHC,SS,$8.56,$9.00,$2,$19,$7.50,99.301
"Jordan Lawlar",40260,29976,sa3017662,ARI,2B/SS/3B/OF,$8.55,$8.00,$1,$18,$7.30,97.203
"Brice Turang",33634,22186,sa3008294,MIL,2B,$8.53,$8.00,$3,$29,$16.60,100
"Bryan Abreu",20900,16609,sa828588,HOU,RP,$8.43,$8.00,$3,$15,$5.30,44.056
"Luis Arraez",20545,18568,sa828153,SFG,1B/2B,$8.41,$8.00,$1,$18,$7.40,100
"Eugenio Suarez",9668,12552,sa505033,CIN,3B,$8.40,$8.00,$3,$18,$10.30,98.601
"Shea Langeliers",36669,25816,sa3010329,ATH,C,$8.34,$8.00,$5,$23,$14.20,100
"Pete Fairbanks",20435,17998,sa827454,MIA,RP,$8.22,$8.00,$1,$14,$8.00,95.105
"Ben Rice",40255,29576,sa3016974,NYY,C/1B,$8.21,$7.00,$3,$36,$21.40,100
"Bryce Miller",40550,29837,sa3017414,"SEA A+",SP,$8.19,$8.00,$1,$23,$7.70,96.503
"Salvador Perez",8626,7304,sa392995,KCR,C/1B,$8.10,$8.00,$1,$28,$6.10,88.811
"Jung Hoo Lee",44524,33824,sa3012640,SFG,OF,$8.04,$8.00,$1,$21,$5.70,97.902
"Jacob Wilson",44003,33266,sa3022538,ATH,SS,$8.03,$7.00,$3,$19,$10.20,100
"Aaron Nola",18357,16149,sa599230,PHI,SP,$7.96,$8.00,$1,$30,$5.50,88.811
"Chase Burns",45706,35333,sa3028086,CIN,SP/RP,$7.94,$7.00,$3,$24,$16.30,100
"Connelly Early",44515,33666,sa3023308,BOS,SP,$7.91,$7.00,$1,$19,$9.70,100
"Matt Wallner",37174,26466,sa918808,MIN,OF,$7.76,$7.00,$1,$18,$9.00,77.622
