Name,Org,Pos,Age,PA,AB,Pitches,xwOBA,wOBA,PS Score,Agg,Power,Discipline,xBA,xSLG,Barrels,BB%,Chase%,EV,Max EV,50th% EV,90th% EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,Speed,wBsR/PA,Pull,Pull Air,Spd,wBsR,wBsR/PA,xBA,xSLG,Barrels,BB%,Chase%,EV,Max EV,50th% EV,90th% EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,PullAir%,BA,OBP,SLG,BABIP,PA/Barrels,Barrels,BB,2B,3B,Hits,HR,K,Swings,Whiffs
Jayson Bass,MIN,OF,20,94,82,358,0.6330935251798561,0.5071942446043165,0.9280575539568345,0.6081384892086331,0.7122302158273381,0.46916752312435767,0.7733812949640287,0.8345323741007195,0.7589928057553957,0.4244604316546763,0.4028776978417266,0.60431654676259,0.8489208633093526,0.5467625899280576,0.6654676258992805,0.5143884892086331,0.5,0.6438848920863309,0.35251798561151076,0.6791443850267379,0.841726618705036,0.48201438848920863,0.2805755395683453,0.8345323741007195,0.7985611510791367,0.7681159420289855,0.7985611510791367,8.03454,0.574629,0.006113074468085106,.233,.372,8.8,10.6,27.173913043478255,88.2,110.6,89.7,103.8,35.1,27.7,12.8,34.5,48.603351955307254,71.26436781609196,79.03225806451613,16.75977653631285,21.1,.232,.319,.390,.309,5.319148936170213,5,10,5,1,19,2,26,174,60
Edgleen Perez,PIT,C,19,115,101,426,0.8381294964028777,0.8309352517985612,0.920863309352518,0.6373651079136691,0.5856115107913669,0.7327852004110998,0.9784172661870504,0.8201438848920863,0.4244604316546763,0.460431654676259,0.539568345323741,0.60431654676259,0.5863309352517986,0.5971223021582733,0.5755395683453237,0.49280575539568344,0.8848920863309353,0.23741007194244604,0.8129496402877698,0.5187165775401069,0.7697841726618705,0.8776978417266187,0.7841726618705036,0.08633093525179857,0.3237410071942446,0.050724637681159424,0.0683453237410072,1.14829,"'-0.38135","'-0.003316086956521739",.290,.368,3.6,11.3,25.110132158590307,88.2,107.6,90.4,102.8,34.9,16.5,4.9,21.4,46.009389671361504,69.84924623115577,87.05035971223022,9.859154929577462,4.8,.337,.409,.396,.402,2.608695652173913,3,13,3,0,34,1,19,196,42
Bryce Rainer,DET,SS,20,49,42,209,0.5899280575539568,0.2014388489208633,0.9136690647482014,0.5397931654676259,0.929496402877698,0.31500513874614594,0.23741007194244604,0.9496402877697842,0.9856115107913669,0.5107913669064749,0.841726618705036,0.9640287769784173,1,0.8705035971223022,1,0.7482014388489209,0.09352517985611511,0.28776978417266186,0.1618705035971223,0.0481283422459893,0.02877697841726619,0.07913669064748201,0.4892086330935252,0.6690647482014388,0.9280575539568345,0.7391304347826086,0.05755395683453238,6.33929,0.720183,0.01469761224489796,.177,.437,17.4,12.2,18.446601941747574,93.7,116.2,94.1,110.6,43.5,40.8,5.8,39.4,33.97129186602871,49.0566037735849,67.30769230769229,13.397129186602873,4.3,.167,.265,.310,.273,8.16326530612245,4,6,3,0,7,1,20,71,28
Bruin Agbayani,MIN,2B/SS,19,29,23,113,0.8561151079136691,0.381294964028777,0.9064748201438849,0.6297212230215827,0.26043165467625895,0.802672147995889,0.920863309352518,0.44244604316546765,0.11870503597122302,0.8345323741007195,0.9280575539568345,0.5035971223021583,0.07913669064748201,0.39928057553956836,0.17985611510791366,0.15827338129496402,0.960431654676259,0.7661870503597122,0.8525179856115108,0.0855614973262032,0.11510791366906475,0.9784172661870504,0.9496402877697842,0.6115107913669064,0.8489208633093526,0.5797101449275363,0.29856115107913667,6.06988,0.240365,0.00828844827586207,.260,.295,0,17.2,15.789473684210524,87.2,102.5,87.6,99.4,25,10.3,15.7,20,35.398230088495566,55.35714285714286,93.54838709677419,7.079646017699115,10,.174,.345,.261,.200,0,0,5,2,0,4,0,3,40,8
Jaeden Calderon,PHI,1B/OF,20,78,66,303,0.4712230215827338,0.26258992805755393,0.8992805755395683,0.5690197841726619,0.6028776978417266,0.5256937307297019,0.42805755395683454,0.5071942446043165,0.4676258992805755,0.6187050359712231,0.2841726618705036,0.6223021582733813,0.8273381294964028,0.46402877697841727,0.6474820143884892,0.5899280575539568,0.5899280575539568,0.6546762589928058,0.6906474820143885,0.3422459893048128,0.08633093525179857,0.7410071942446043,0.6690647482014388,0.8561151079136691,0.9424460431654677,0.014492753623188406,0.1223021582733813,8.09027,1.2315,0.01578846153846154,.203,.306,4.4,14.1,29.411764705882355,88.3,110.2,88.6,103.6,37.8,25.6,13,26.2,42.904290429042895,53.892215568862284,84.44444444444444,11.221122112211221,6.5,.167,.295,.288,.222,2.564102564102564,2,11,1,2,11,1,20,130,34
Carter Johnson,MIA,2B/SS,20,126,100,540,0.4892086330935252,0.8129496402877698,0.8920863309352518,0.5310251798561151,0.5568345323741009,0.5847893114080164,0.2517985611510791,0.38848920863309355,0.5,0.737410071942446,0.6402877697841727,0.7482014388489209,0.6151079136690647,0.7913669064748201,0.7805755395683454,0.5323741007194245,0.39568345323741005,0.5323741007194245,0.658273381294964,0.3796791443850268,0.3597122302158273,0.6762589928057554,0.6258992805755396,0.34532374100719426,0.5179856115107914,0.4782608695652174,0.39928057553956836,4.66437,"'-0.0831784","'-0.0006601460317460317",.179,.282,4.6,15.9,23.371647509578548,89.3,107.9,92.6,104.8,35.4,29.4,11.4,26.7,43.7037037037037,62.72401433691756,82.85714285714286,11.666666666666664,12.3,.250,.389,.410,.344,2.380952380952381,3,20,4,0,25,4,37,236,63
Drew Davies,CIN,1B/OF,20,45,35,178,0.9568345323741008,0.8812949640287769,0.8848920863309353,0.6196043165467626,0.39856115107913676,0.6618705035971224,0.9496402877697842,0.7482014388489209,0.4460431654676259,0.8741007194244604,0.9568345323741008,0.2158273381294964,0.4568345323741007,0.1618705035971223,0.2014388489208633,0.12589928057553956,0.7589928057553957,0.5755395683453237,0.5971223021582733,0.18716577540106952,0.22302158273381295,0.4892086330935252,0.7338129496402878,0.8057553956834532,0.9136690647482014,0.6666666666666666,0.7194244604316546,7.462339999999999,0.583175,0.012959444444444444,.272,.348,3.8,17.8,13.924050632911394,84.1,106.3,84.4,99.5,23.1,20,11.7,27.5,38.76404494382023,58.585858585858595,79.3103448275862,10.674157303370784,19.2,.286,.444,.371,.385,2.2222222222222223,1,8,1,1,10,0,9,69,19
Randy Guzman,NYM,1B/OF,21,109,92,427,0.6726618705035972,0.6690647482014388,0.8776978417266187,0.5993705035971223,0.8928057553956835,0.3514902363823227,0.6798561151079137,0.7482014388489209,0.9028776978417267,0.5035971223021583,0.09352517985611511,0.920863309352518,0.9928057553956835,0.8525179856115108,0.9820143884892086,0.8992805755395683,0.26618705035971224,0.6294964028776978,0.26618705035971224,0.8181818181818182,0.7338129496402878,0.43884892086330934,0.15827338129496402,0.6834532374100719,0.45323741007194246,0.9021739130434783,0.9424460431654677,6.39371,"'-0.203361","'-0.001865697247706422",.224,.348,12.3,11.9,36.56387665198238,92.3,115.8,94,109.1,50.9,33,12.7,36.9,51.99063231850117,69.5,77.6978417266187,19.20374707259953,29.3,.239,.339,.424,.333,6.422018348623854,7,13,5,0,22,4,36,222,82
Jordan Yost,DET,SS,19,58,48,230,0.762589928057554,0.6151079136690647,0.8705035971223022,0.5883543165467626,0.29280575539568343,0.7194244604316548,0.9136690647482014,0.6007194244604317,0.11870503597122302,0.2589928057553957,0.7697841726618705,0.3381294964028777,0.17266187050359713,0.22661870503597123,0.050359712230215826,0.23381294964028776,0.9280575539568345,0.31654676258992803,0.9928057553956835,0.20320855614973266,0.1366906474820144,0.9568345323741008,0.9928057553956835,0.920863309352518,0.7194244604316546,0.6268115942028986,0.5359712230215827,8.5404,0.22262800000000002,0.0038384137931034477,.258,.324,0,8.6,20.37037037037037,85.5,103.5,85.9,96.9,27.5,13.8,6.2,13.3,39.130434782608695,55.73770491803278,91.17647058823529,5.217391304347826,14.6,.271,.379,.333,.317,0,0,5,1,1,13,0,8,90,12
Tyson Lewis,CIN,SS,20,58,52,240,0.5215827338129496,0.09352517985611511,0.8633093525179856,0.487410071942446,0.8474820143884892,0.262589928057554,0.6798561151079137,0.7913669064748201,0.7985611510791367,0.2589928057553957,0.1079136690647482,0.9568345323741008,0.8597122302158273,0.8705035971223022,0.8920863309352518,0.8309352517985612,0.1906474820143885,0.16906474820143885,0.14388489208633093,0.8582887700534759,0.7553956834532374,0.3237410071942446,0.05755395683453238,0.35251798561151076,0.26618705035971224,0.13768115942028986,0.02158273381294964,4.682519999999999,"'-0.269715","'-0.004650258620689655",.224,.362,9.4,8.6,36.440677966101696,93,110.7,94.1,106.1,46.9,34.5,2.3,39.8,53.33333333333334,69.67213114754098,74.11764705882355,21.25,3.1,.154,.241,.231,.250,5.172413793103448,3,5,4,0,8,0,20,128,51
Irvin Nunez,MIN,C/1B,20,49,37,205,0.5755395683453237,0.16906474820143885,0.8561151079136691,0.6153327338129497,0.27482014388489207,0.7887975334018499,0.5539568345323741,0.3669064748201439,0.11870503597122302,0.7661870503597122,0.8992805755395683,0.31654676258992803,0.15467625899280577,0.2158273381294964,0.3381294964028777,0.4172661870503597,0.8920863309352518,0.9496402877697842,0.89568345323741,0.29411764705882354,0.5863309352517986,0.5683453237410072,0.9136690647482014,0.8705035971223022,0.6906474820143885,0.6521739130434783,0.9712230215827338,8.15749,0.138537,0.002827285714285714,.213,.272,0,16.3,16.50485436893204,85.4,103.4,85.8,100.6,32.3,16.3,20.3,18.8,41.46341463414634,66.66666666666666,80.88235294117648,7.804878048780488,32.3,.162,.327,.162,.194,0,0,8,0,0,6,0,8,85,16
Jude Warwick,DET,2B/SS,20,131,109,499,0.7877697841726619,0.6870503597122302,0.8489208633093526,0.591501798561151,0.625179856115108,0.48252826310380265,0.7985611510791367,0.802158273381295,0.460431654676259,0.5719424460431655,0.3669064748201439,0.6366906474820144,0.7122302158273381,0.7338129496402878,0.39928057553956836,0.5143884892086331,0.5107913669064749,0.6618705035971223,0.4244604316546763,0.8021390374331551,0.9064748201438849,0.2805755395683453,0.31654676258992803,0.7122302158273381,0.30935251798561153,0.4927536231884058,0.7589928057553957,6.69314,"'-0.505189","'-0.003856404580152672",.235,.365,4.1,13,28.033472803347284,88.5,109,92,101.2,35.1,27.5,13.5,31.8,51.703406813627254,73.46153846153847,72.25130890052355,16.432865731462925,20.3,.248,.366,.385,.347,2.2900763358778624,3,17,7,1,27,2,36,258,82
Ramiro Dominguez,MIN,2B,19,57,50,210,0.5215827338129496,0.7482014388489209,0.841726618705036,0.5870053956834532,0.4129496402877698,0.7127440904419321,0.6151079136690647,0.7482014388489209,0.6870503597122302,0.5215827338129496,0.48201438848920863,0.050359712230215826,0.31654676258992803,0.1079136690647482,0.302158273381295,0.26258992805755393,0.8057553956834532,0.6187050359712231,0.9136690647482014,0.41711229946524064,0.381294964028777,0.9856115107913669,0.8992805755395683,0.5827338129496403,0.8848920863309353,0.9927536231884058,0.9928057553956835,5.96163,0.622628,0.010923298245614034,.218,.348,7.7,12.3,26.168224299065415,81.3,105,82.3,100.3,28.2,19.3,12.5,18.3,44.28571428571429,63.10679611650486,93.84615384615385,8.095238095238095,38.5,.220,.316,.480,.222,5.263157894736842,3,7,4,0,11,3,11,93,17
